# Freq,Mag1,Mag2,V1,V2,Zr,Zi,Ar,Ai
1.661389638458155105e+02,-9.306818194565360614e+01,-9.497641476527380178e+01,1.404820701465785391e-05,1.127740707941964613e-05,9.654607314211109070e+00,2.010685235794658521e+00,9.927178090316761405e-02,-2.067451297570989735e-02
1.852318243276866099e+02,-9.185979065944657407e+01,-9.048822115926851950e+01,1.614508971667730976e-05,1.890683950894067131e-05,5.546074114992744164e+00,-6.511010604408444813e+00,7.581555071227349951e-02,8.900635736767913142e-02
2.065188559596709865e+02,-9.635606458747410841e+01,-8.581169667947781932e+01,9.621145140745337261e-06,3.239255178177694435e-05,-4.638677903889140453e+01,-1.088701840967999743e+02,-3.312288465071817466e-03,7.773970567599339763e-03
2.302522151454967059e+02,-9.004497162256738818e+01,-1.026095695009057067e+02,1.989671662039445833e-05,4.683295062926310780e-06,3.749716114383139853e+01,7.454607822463150235e+00,2.565472696862367008e-02,-5.100277527940803336e-03
2.567130363619730247e+02,-9.091326550885283098e+01,-9.214866073478137309e+01,1.800390531346451436e-05,1.561697657698224597e-05,-6.616591201605179329e+00,-4.041348012809750645e-01,-1.505734888071703081e-01,9.196878743620469365e-03
2.862147623489328225e+02,-1.106240691151938051e+02,-9.739547891907992039e+01,1.861343555219277767e-06,8.536032298776631959e-06,-1.672138801055854458e+02,-6.470783912854001585e+01,-5.201444343385406427e-03,2.012836635303905889e-03
3.191068570080252016e+02,-9.080236404588616494e+01,-8.389309169381630227e+01,1.823525300750697466e-05,4.039944612350925945e-05,-5.827300061997670610e+01,1.725123250434349487e+01,-1.577782720439096717e-02,-4.670893254516834438e-03
3.557789449916537023e+02,-9.219782614581198743e+01,-9.116050381177878137e+01,1.552882831154829224e-05,1.749866049200293592e-05,-5.742708667786152077e+00,-2.692316847750143349e+00,-1.427565992094547986e-01,6.692765024545421770e-02
3.966654270177305079e+02,-9.017646971545401868e+01,-9.350689102520816220e+01,1.959776338560052715e-05,1.335627782909445970e-05,1.559974679690288113e+01,3.197015549833511994e+00,6.151974488885787740e-02,-1.260787008866819797e-02
4.422506255811445044e+02,-8.855487478099146870e+01,-9.687119228054103814e+01,2.362034608572121893e-05,9.067141256587793138e-06,-1.085472712868023670e+01,-2.883080854039884500e+01,-1.143757904093081063e-02,3.037889829800334909e-02
4.930745220156816231e+02,-8.723753846591797867e+01,-1.017562931043158017e+02,2.748862852496436929e-05,5.166724925055320261e-06,-3.463652295987365903e+01,-2.118582725259351207e+01,-2.101057608862240064e-02,1.285136028251750683e-02
5.497391528649960719e+02,-9.426074329791704542e+01,-9.008427176910697654e+01,1.224595983753715785e-05,1.980689536016412295e-05,2.591345689359956950e+01,1.677855203027819542e+01,2.719068332774933830e-02,-1.760553587376229717e-02
6.129157413311082792e+02,-1.158010546676388941e+02,-8.841446526218240365e+01,1.025598229106454260e-06,2.400527759919961359e-05,-9.378406583798756628e+02,6.128116643960728425e+02,-7.472338336480099236e-04,-4.882637633582053794e-04
6.833526482762953265e+02,-8.969439548893237202e+01,-9.115095868101076348e+01,2.071620601271881944e-05,1.751790075618148127e-05,7.663375136555860223e+00,-9.277891578515148341e-01,1.286057735609430763e-01,1.557003803425645490e-02
7.618842369622873321e+02,-8.900082389087559420e+01,-8.428763954672623981e+01,2.243824062950993379e-05,3.860539659386801688e-05,3.127382867838734271e+01,1.788331028067075579e+01,2.409636221105011453e-02,-1.377902035875255837e-02
8.494407565344067734e+02,-9.641726662545663373e+01,-9.292538753162961029e+01,9.553591432967504477e-06,1.428106576422989348e-05,-1.212985365157954121e+01,-2.156447056402507911e+01,-1.981485036132740740e-02,3.522686832184197814e-02
9.470593613258620280e+02,-9.833044369858956202e+01,-9.406295175054000879e+01,7.664923253117574575e-06,1.252801913763919268e-05,-1.698953863215680471e+01,-2.679005824788814394e+01,-1.688230822281120216e-02,2.662097131889547968e-02
1.055896396511813919e+03,-9.138079874546815518e+01,-9.377040146671490106e+01,1.706043334832887284e-05,1.295716300415752977e-05,3.161982959191920628e+00,-1.160255083628670825e+01,2.186448284576055986e-02,8.022932982279172565e-02
1.177241095643440076e+03,-8.491387244118718058e+01,-8.625081372648141098e+01,3.592000377229784443e-05,3.079564533532821785e-05,-6.056223244540625217e+00,3.768564513819359085e+00,-1.190297356042272492e-01,-7.406781744575804960e-02
1.312530852316685014e+03,-9.541681268652541803e+01,-9.843470487414305126e+01,1.071986611591109284e-05,7.573467253913484483e-06,-4.887749522250089740e+00,1.383769495880468803e+01,-2.269446286439725027e-02,-6.425023478430647028e-02
1.463368246876884086e+03,-9.089379341852728089e+01,-8.868263184531289767e+01,1.804431187378350754e-05,2.327546699752572942e-05,-7.740444682111281338e+00,1.225557842479252812e+01,-3.683931691752152793e-02,-5.832832041832042985e-02
1.631540029849782059e+03,-9.293269057594100957e+01,-9.169826730674047610e+01,1.426906337560828413e-05,1.644813380601521370e-05,7.363357094275537307e+00,2.020892285040320147e+00,1.262945797890100141e-01,-3.466187211488629821e-02
1.819038286967956992e+03,-9.197544752310328420e+01,-9.179303982793308592e+01,1.593153490869404678e-05,1.626964228155805369e-05,-1.991371432415462439e-01,1.042269805791304238e+00,-1.768564258619989005e-01,-9.256540976513935037e-01
2.028084036503825018e+03,-8.958523400418275173e+01,-8.649117493027435444e+01,2.097820357080869305e-05,2.995513279056385403e-05,-1.122805395469432277e+01,1.821298939724945498e+01,-2.452706654961644625e-02,-3.978527399461161129e-02
2.261153538432423829e+03,-9.442911729072868354e+01,-8.813671504677601831e+01,1.201086072778467693e-05,2.478530361677461596e-05,4.778314572015096928e+01,2.333979099921570111e+01,1.689659495078488921e-02,-8.253181928610717893e-03
2.521007627070203853e+03,-1.010778457567574975e+02,-8.996656395721301180e+01,5.586473047710173556e-06,2.007713770795376175e-05,1.177670897358356399e+02,-5.432764924305749332e+01,7.001368766994500031e-03,3.229831928833272730e-03
2.810724414650836025e+03,-1.079466735093779022e+02,-9.157574629814122602e+01,2.533356565002260786e-06,1.668179119125389560e-05,-1.790049287735407688e+02,-2.143215748986337417e+02,-2.295626556719990250e-03,2.748540514422306239e-03
3.133735753229550028e+03,-9.753805984674754370e+01,-9.781523548082149944e+01,8.397055107102791184e-06,8.133326778715638719e-06,-1.397346326197806743e+00,7.165739545086228235e-01,-5.666322661955721651e-01,-2.905750107382227276e-01
3.493867886826999893e+03,-9.237120752369989418e+01,-8.716404859637742675e+01,1.522192646095205038e-05,2.772219192241765545e-05,-5.094591800585723362e+00,-4.074277224357208382e+01,-3.021831730478104217e-03,2.416637225756024243e-02
3.895386775359289004e+03,-9.270640254934517088e+01,-8.666686299384718950e+01,1.464569104042513338e-05,2.935532182654579261e-05,1.781186361220066461e+00,-5.018668346327681462e+01,7.062942377077676380e-04,1.990053714283784858e-02
4.343048627240606038e+03,-9.128102762004905912e+01,-8.617977281392765576e+01,1.725752911129692209e-05,3.104855228712180223e-05,-3.995626551989214903e+01,1.467932984637138338e-01,-2.502702617479566835e-02,-9.194552281436223868e-05
4.842156239244503922e+03,-8.898561157597831084e+01,-8.615318667665617625e+01,2.247757300389403666e-05,3.114373259686280189e-05,1.540169319059165609e+01,1.159326719265326489e+01,4.144518347149985654e-02,-3.119690022958942349e-02
5.398621810999938134e+03,-9.160080196132187780e+01,-9.082770440954828928e+01,1.663373957113114797e-05,1.818213069473590700e-05,-4.639977936674347880e+00,3.656799096763901913e-01,-2.141879179318212090e-01,-1.688029976694683382e-02
6.019036978193749746e+03,-1.047420114394472961e+02,-8.423000073160491752e+01,3.663780304650543425e-06,3.886243056321972287e-05,4.574691099910199341e+02,-1.465173820035739141e+02,1.982571479724675595e-03,6.349744201306033306e-04
6.710750894060760402e+03,-9.566969415772062746e+01,-9.863946227932910915e+01,1.041226680000149934e-05,7.397021511652948338e-06,1.141548815210814993e+01,-8.907113007176169717e+00,5.445020947573477044e-02,4.248562677323774323e-02
7.481957284078953307e+03,-9.177965576220887556e+01,-9.254340910103525175e+01,1.629473145781512448e-05,1.492311688535071701e-05,-3.803654639421759853e+00,1.801653408336667539e+00,-2.147290104829818747e-01,-1.017093533140108474e-01
8.341791505079703711e+03,-8.509178412234773248e+01,-1.031584564872272978e+02,3.519174398481519044e-05,4.396500949653125204e-06,4.008802654493972994e+01,1.753052641471777306e+01,2.094059283083864187e-02,-9.157338173016277630e-03
9.300438758490730834e+03,-8.572726558989182877e+01,-9.316035477699028888e+01,3.270895852872758781e-05,1.389991859508057942e-05,2.743500225042855334e+01,-8.602631116304900516e+00,3.318678235751339189e-02,1.040618272791734786e-02
1.036925473955609959e+04,-9.434381648194073477e+01,-9.349565533001218398e+01,1.212939590097906360e-05,1.337356611790889935e-05,5.128367661005257538e+00,-6.137187782826322019e-02,1.949658983586680938e-01,2.333183594797162436e-03
1.156090015168866921e+04,-8.619133276227540819e+01,-1.032297165837393038e+02,3.100725761949396430e-05,4.360579075577967665e-06,4.059127020612664438e+01,-1.409385873992370719e+01,2.198533957993541524e-02,7.633618480411458011e-03
1.288949067935009953e+04,-8.041245768571761232e+01,-9.047093366571841955e+01,6.031246954343761360e-05,1.894450719315234882e-05,-3.324445767455748779e+01,-8.422148033969664382e+00,-2.826605509073995548e-02,7.160919953666307347e-03
1.437076419596838969e+04,-8.931761162628160378e+01,-8.201173156877308656e+01,2.163462711803799349e-05,5.016992100673147890e-05,-4.289073144166131613e+01,-5.009540298907165123e+01,-9.861832994346713538e-03,1.151839759913374228e-02
1.602226718756119953e+04,-9.189423903925430182e+01,-8.347814137483474894e+01,1.608118483550355899e-05,4.237628950355629571e-05,4.731875602703208017e+01,6.667233354939610024e+01,7.079126563368647561e-03,-9.974520192408959166e-03
1.786356260035351079e+04,-9.068033117075674454e+01,-8.127800879607676166e+01,1.849325836467959972e-05,5.459206922563251843e-05,7.742680510415793549e+01,-5.942081068090015350e+01,8.128164489980089710e-03,6.237918802055613179e-03
1.991646157445717836e+04,-9.866860627799566430e+01,-8.961328326657837806e+01,7.372243678919143991e-06,2.091056811972212887e-05,-6.277488161843412939e+01,-6.700853363428966247e+01,-7.445872650453587774e-03,7.948035823743260231e-03
2.220528180862308000e+04,-8.625570411045188735e+01,-8.780620011862524166e+01,3.077831145843732438e-05,2.574660615833959055e-05,7.073089720553858761e+00,-4.097252479317210039e+00,1.058591006255888839e-01,6.132135737457049263e-02
2.475713561653612123e+04,-8.928415186147663007e+01,-8.457343945571219024e+01,2.171812870971623954e-05,3.735579839326989631e-05,1.118767981367378184e+01,3.421896861928464517e+01,8.631789684964157397e-03,-2.640144742049605267e-02
2.760225108683578947e+04,-8.795307032342668663e+01,-8.060040695714459957e+01,2.531491534972719998e-05,5.902141915730968068e-05,-4.672446593281340199e+01,-4.742334685069337041e+01,-1.054216819109972739e-02,1.069985260834774993e-02
3.077433015117628020e+04,-8.972740568438663900e+01,-1.029640705609092066e+02,2.063762474758553913e-05,4.496001708745481824e-06,-3.203157857643493855e+01,-2.243560873950901424e+01,-2.094417909122792132e-02,1.466975492137277334e-02
3.431094780183613329e+04,-9.298442138673310353e+01,-8.545495631974350204e+01,1.418433325652500480e-05,3.375065298422989319e-05,-1.852100081334918613e+01,-6.643832699249091434e+01,-3.893355929026567300e-03,1.396620284819505460e-02
3.825399718782590935e+04,-8.118784918470603884e+01,-8.969891141091899556e+01,5.516168658991577674e-05,2.070543815144129909e-05,3.121943507253208594e+01,8.875207211705189447e-01,3.200546302298716561e-02,-9.098662918647774153e-04
4.265018586189803318e+04,-9.542446744420657012e+01,-8.193140622899996117e+01,1.071042300377944363e-05,5.063603416441817597e-05,-1.820774616906493577e+02,3.984717278771723414e+01,-5.241147544638306496e-03,-1.147011331759178587e-03
