frequency_hz,z_real_ohm,z_imag_ohm,z_mod_ohm,z_phase_deg,delta_phase_deg
166.138964,9787.854825612512,21.409314270871953,9787.878240252261,0.12532484549011688,0.12468789540792578
149.014109,9786.362427985287,24.897037345096244,9786.39409764141,0.14576325935567744,0.14502232165501208
133.654407,9785.305350941147,23.683728288757575,9785.334012191055,0.13867477566470443,0.1379697937995342
119.877914,9778.994850425472,14.027150703468717,9779.004910807886,0.08218595008801419,0.08176787153846175
107.52144,9782.389365368444,13.72494582972007,9782.398993591074,0.08038741096123934,0.07997862270396291
96.4386151,9779.472137213794,11.053216571541089,9779.478383642836,0.06475834084246881,0.06442893207459226
86.4981579,9781.982572252688,7.549965565664915,9781.985485873272,0.044222229316875354,0.043997339720279846
77.5823182,9774.449488251857,4.404506638356863,9774.450480618627,0.025818295387142472,0.025686897226107293
69.5854829,9774.786930272146,2.1671257565155275,9774.787170504185,0.012702799393353675,0.012638152703962742
62.4129254,9778.136669830192,1.6348667217214004,9778.136806501894,0.009579633166429099,0.009530897412587445
55.9796827,9786.564101118487,-2.6813848536714247,9786.564468449887,-0.01569826038372434,-0.015618464941724983
50.2095497,9787.26189907638,-11.190276515221722,9787.268296281689,-0.06550916314841516,-0.06517619902097921
45.0341759,9787.098408151049,-14.83976458745725,9787.109658599204,-0.0868751076960293,-0.08643353960372985
40.3922563,9792.959298575017,-20.040409032871857,9792.97980399945,-0.11725048776821288,-0.11665488354312387
36.2288048,9793.75615756756,-18.199898188990566,9793.77306813807,-0.10647356710415588,-0.10593275055944085
32.4945031,9792.493932734016,-19.349859014664563,9792.513050268373,-0.11321567522969457,-0.1126405395804199
29.1451164,9793.967778568232,-12.41374566701704,9793.975645707633,-0.07262172695133957,-0.07225286324009345
26.1409693,9780.085734109458,-8.687610191247591,9780.089592693013,-0.05089559341530545,-0.05063671689976704
23.4464762,9779.65422185005,-1.2520812889758477,9779.654302001532,-0.007335532672859242,-0.007298219393939401
